,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
164,CMR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,30.03
165,CMR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,39.24
166,COD,2017,GN_FB_BNK_ACCSS,Y_GE15,F,24.22
167,COD,2017,GN_FB_BNK_ACCSS,Y_GE15,M,27.39
168,COG,2017,GN_FB_BNK_ACCSS,Y_GE15,F,20.99
169,COG,2017,GN_FB_BNK_ACCSS,Y_GE15,M,31.22
170,COL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,42.47
171,COL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,49.45
172,CRI,2017,GN_FB_BNK_ACCSS,Y_GE15,F,60.88
173,CRI,2017,GN_FB_BNK_ACCSS,Y_GE15,M,75.46
174,CYP,2017,GN_FB_BNK_ACCSS,Y_GE15,M,87.32
175,CYP,2017,GN_FB_BNK_ACCSS,Y_GE15,F,90.01
176,CZE,2017,GN_FB_BNK_ACCSS,Y_GE15,F,78.58
177,CZE,2017,GN_FB_BNK_ACCSS,Y_GE15,M,83.58
178,CZE,2017,GN_ED_ATTN,Y_GE25,F,86.77892
179,CZE,2017,GN_ED_ATTN,Y_GE25,M,94.6492
180,DEU,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.08
181,DEU,2017,GN_FB_BNK_ACCSS,Y_GE15,F,99.2
182,DJI,2017,GN_IT_MOB_OWN,_T,F,51.57
183,DJI,2017,GN_IT_MOB_OWN,_T,M,61.32
184,DNK,2017,GN_FB_BNK_ACCSS,Y_GE15,F,100
185,DNK,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.83
186,DOM,2017,GN_FB_BNK_ACCSS,Y_GE15,F,54.14
187,DOM,2017,GN_FB_BNK_ACCSS,Y_GE15,M,58.36
188,DZA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,29.27
189,DZA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,56.25
190,ECU,2017,GN_FB_BNK_ACCSS,Y_GE15,F,42.61
191,ECU,2017,GN_ED_ATTN,Y_GE25,F,43.15428
192,ECU,2017,GN_ED_ATTN,Y_GE25,M,43.94866
193,ECU,2017,GN_FB_BNK_ACCSS,Y_GE15,M,60.24
194,EGY,2017,GN_FB_BNK_ACCSS,Y_GE15,F,26.99
195,EGY,2017,GN_FB_BNK_ACCSS,Y_GE15,M,38.65
196,EGY,2017,GN_ED_ATTN,Y_GE25,M,66.92253
197,EGY,2017,GN_ED_ATTN,Y_GE25,F,67.4589
198,ESP,2017,GN_FB_BNK_ACCSS,Y_GE15,F,91.64
199,ESP,2017,GN_FB_BNK_ACCSS,Y_GE15,M,95.88
200,EST,2017,GN_FB_BNK_ACCSS,Y_GE15,M,97.55
201,EST,2017,GN_FB_BNK_ACCSS,Y_GE15,F,98.38
202,ETH,2017,GN_FB_BNK_ACCSS,Y_GE15,F,29.08
203,ETH,2017,GN_FB_BNK_ACCSS,Y_GE15,M,40.94
204,FIN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,100
205,FIN,2017,GN_ED_ATTN,Y_GE25,M,74.61111
206,FIN,2017,GN_ED_ATTN,Y_GE25,F,76.38666
207,FIN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,99.59
208,FJI,2017,GN_ED_ATTN,Y_GE25,M,42.30719
209,FJI,2017,GN_ED_ATTN,Y_GE25,F,46.81565
210,FRA,2017,GN_ED_ATTN,Y_GE25,F,67.40809
211,FRA,2017,GN_ED_ATTN,Y_GE25,M,73.03402
212,FRA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,91.29
213,FRA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,96.98
214,GAB,2017,GN_FB_BNK_ACCSS,Y_GE15,F,53.7
215,GAB,2017,GN_FB_BNK_ACCSS,Y_GE15,M,63.8
216,GBR,2017,GN_ED_ATTN,Y_GE25,F,76.67328
217,GBR,2017,GN_ED_ATTN,Y_GE25,M,77.56768
218,GEO,2017,GN_FB_BNK_ACCSS,Y_GE15,M,58.49
219,GEO,2017,GN_FB_BNK_ACCSS,Y_GE15,F,63.61
220,GEO,2017,GN_ED_ATTN,Y_GE25,F,91.91808
221,GEO,2017,GN_ED_ATTN,Y_GE25,M,93.18634
222,GHA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,53.72
223,GHA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,61.79
224,GIN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,19.67
225,GIN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,27.26
226,GRC,2017,GN_FB_BNK_ACCSS,Y_GE15,F,84.54
227,GRC,2017,GN_FB_BNK_ACCSS,Y_GE15,M,86.45
228,GRD,2017,GN_IT_MOB_OWN,_T,M,90.28
229,GRD,2017,GN_IT_MOB_OWN,_T,F,95.04
230,GTM,2017,GN_FB_BNK_ACCSS,Y_GE15,F,42.09
231,GTM,2017,GN_FB_BNK_ACCSS,Y_GE15,M,46.36
232,HND,2017,GN_FB_BNK_ACCSS,Y_GE15,F,40.95
233,HND,2017,GN_FB_BNK_ACCSS,Y_GE15,M,50.24
234,HRV,2017,GN_FB_BNK_ACCSS,Y_GE15,F,82.7
235,HRV,2017,GN_FB_BNK_ACCSS,Y_GE15,M,89.84
236,HTI,2017,GN_FB_BNK_ACCSS,Y_GE15,F,30.05
237,HTI,2017,GN_FB_BNK_ACCSS,Y_GE15,M,35.35
238,HUN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,72.16
239,HUN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,78.16
240,IDN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,46.25
241,IDN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,51.35
242,IND,2017,GN_FB_BNK_ACCSS,Y_GE15,F,76.64
243,IND,2017,GN_FB_BNK_ACCSS,Y_GE15,M,83.01
244,IRL,2017,GN_ED_ATTN,Y_GE25,M,68.085
245,IRL,2017,GN_ED_ATTN,Y_GE25,F,73.32244
246,IRL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,95.31
247,IRL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,95.38
248,IRN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,91.61
249,IRN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,96.45
250,IRQ,2017,GN_FB_BNK_ACCSS,Y_GE15,F,19.5
251,IRQ,2017,GN_FB_BNK_ACCSS,Y_GE15,M,25.82
252,ISR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,91.89
253,ISR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,93.7
254,ITA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,91.62
255,ITA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,96.14
256,JOR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,26.61
257,JOR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,56.28
258,JPN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,98.06
259,JPN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,98.46
260,KAZ,2017,GN_FB_BNK_ACCSS,Y_GE15,M,56.9
261,KAZ,2017,GN_FB_BNK_ACCSS,Y_GE15,F,60.29
262,KEN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,77.75
263,KEN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,85.84
264,KGZ,2017,GN_FB_BNK_ACCSS,Y_GE15,F,38.85
265,KGZ,2017,GN_FB_BNK_ACCSS,Y_GE15,M,41.17
266,KHM,2017,GN_FB_BNK_ACCSS,Y_GE15,F,21.53
267,KHM,2017,GN_FB_BNK_ACCSS,Y_GE15,M,21.85
268,KOR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,94.69
269,KOR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,95.02
270,KWT,2017,GN_FB_BNK_ACCSS,Y_GE15,F,73.46
271,KWT,2017,GN_FB_BNK_ACCSS,Y_GE15,M,83.31
272,LAO,2017,GN_FB_BNK_ACCSS,Y_GE15,M,26.12
273,LAO,2017,GN_FB_BNK_ACCSS,Y_GE15,F,31.87
274,LAO,2017,GN_IT_MOB_OWN,_T,F,73.1
275,LAO,2017,GN_IT_MOB_OWN,_T,M,84.3
276,LBN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,32.91
277,LBN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,56.69
278,LBR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,28.16
279,LBR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,43.66
280,LBY,2017,GN_FB_BNK_ACCSS,Y_GE15,F,59.62
281,LBY,2017,GN_FB_BNK_ACCSS,Y_GE15,M,70.69
282,LKA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,73.44
283,LKA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,73.89
284,LSO,2017,GN_FB_BNK_ACCSS,Y_GE15,M,44.6
285,LSO,2017,GN_FB_BNK_ACCSS,Y_GE15,F,46.46
286,LTU,2017,GN_FB_BNK_ACCSS,Y_GE15,F,81.01
287,LTU,2017,GN_FB_BNK_ACCSS,Y_GE15,M,85.12
288,LTU,2017,GN_ED_ATTN,Y_GE25,F,86.05382
289,LTU,2017,GN_ED_ATTN,Y_GE25,M,88.88831
290,LUX,2017,GN_FB_BNK_ACCSS,Y_GE15,F,98.18
291,LUX,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.35
292,LVA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,92.54
293,LVA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,94.08
294,MAR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,16.81
295,MAR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,41.47
296,MDA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,42.94
297,MDA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,44.55
298,MDG,2017,GN_FB_BNK_ACCSS,Y_GE15,F,16.31
299,MDG,2017,GN_FB_BNK_ACCSS,Y_GE15,M,19.61
300,MEX,2017,GN_FB_BNK_ACCSS,Y_GE15,F,33.29
301,MEX,2017,GN_FB_BNK_ACCSS,Y_GE15,M,41.1
302,MKD,2017,GN_FB_BNK_ACCSS,Y_GE15,F,72.89
303,MKD,2017,GN_FB_BNK_ACCSS,Y_GE15,M,80.36
304,MLI,2017,GN_FB_BNK_ACCSS,Y_GE15,F,25.71
305,MLI,2017,GN_FB_BNK_ACCSS,Y_GE15,M,45.46
306,MLT,2017,GN_FB_BNK_ACCSS,Y_GE15,F,96.96
307,MLT,2017,GN_FB_BNK_ACCSS,Y_GE15,M,97.78
308,MMR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,25.98
309,MMR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,26.01
310,MMR,2017,GN_IT_MOB_OWN,_T,F,57.44
311,MMR,2017,GN_IT_MOB_OWN,_T,M,68
312,MNE,2017,GN_FB_BNK_ACCSS,Y_GE15,F,67.57
313,MNE,2017,GN_FB_BNK_ACCSS,Y_GE15,M,69.19
314,MNG,2017,GN_FB_BNK_ACCSS,Y_GE15,M,90.81
315,MNG,2017,GN_FB_BNK_ACCSS,Y_GE15,F,94.95
316,MOZ,2017,GN_ED_ATTN,Y_GE25,M,11.53099
317,MOZ,2017,GN_IT_MOB_OWN,_T,F,26.39
318,MOZ,2017,GN_FB_BNK_ACCSS,Y_GE15,F,32.87
319,MOZ,2017,GN_IT_MOB_OWN,_T,M,36.84
320,MOZ,2017,GN_FB_BNK_ACCSS,Y_GE15,M,51.07
321,MOZ,2017,GN_ED_ATTN,Y_GE25,F,6.19545
322,MRT,2017,GN_FB_BNK_ACCSS,Y_GE15,F,15.49
323,MRT,2017,GN_FB_BNK_ACCSS,Y_GE15,M,26.29
324,MUS,2017,GN_FB_BNK_ACCSS,Y_GE15,F,87.11
325,MUS,2017,GN_FB_BNK_ACCSS,Y_GE15,M,92.71
326,MWI,2017,GN_FB_BNK_ACCSS,Y_GE15,F,29.85
327,MWI,2017,GN_FB_BNK_ACCSS,Y_GE15,M,37.94
328,MYS,2017,GN_FB_BNK_ACCSS,Y_GE15,F,82.48
329,MYS,2017,GN_FB_BNK_ACCSS,Y_GE15,M,87.92
330,NAM,2017,GN_FB_BNK_ACCSS,Y_GE15,M,80.6
331,NAM,2017,GN_FB_BNK_ACCSS,Y_GE15,F,80.66
332,NER,2017,GN_FB_BNK_ACCSS,Y_GE15,F,10.91
333,NER,2017,GN_FB_BNK_ACCSS,Y_GE15,M,19.94
334,NER,2017,GN_IT_MOB_OWN,_T,F,55.37
335,NER,2017,GN_IT_MOB_OWN,_T,M,76.59
336,NGA,2017,GN_FB_BNK_ACCSS,Y_GE15,F,27.28
337,NGA,2017,GN_IT_MOB_OWN,_T,F,32.44
338,NGA,2017,GN_IT_MOB_OWN,_T,M,48.99
339,NGA,2017,GN_FB_BNK_ACCSS,Y_GE15,M,51.41
340,NIC,2017,GN_FB_BNK_ACCSS,Y_GE15,F,24.79
341,NIC,2017,GN_FB_BNK_ACCSS,Y_GE15,M,37.42
342,NLD,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.44
343,NLD,2017,GN_FB_BNK_ACCSS,Y_GE15,F,99.83
344,NOR,2017,GN_FB_BNK_ACCSS,Y_GE15,F,100
345,NOR,2017,GN_ED_ATTN,Y_GE25,F,77.97326
346,NOR,2017,GN_ED_ATTN,Y_GE25,M,78.4806
347,NOR,2017,GN_FB_BNK_ACCSS,Y_GE15,M,99.49
348,NPL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,41.6
349,NPL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,49.98
350,NZL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,98.99
351,NZL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,99.34
352,PAK,2017,GN_ED_ATTN,Y_GE25,F,21.41186
353,PAK,2017,GN_ED_ATTN,Y_GE25,M,33.33567
354,PAK,2017,GN_FB_BNK_ACCSS,Y_GE15,M,34.61
355,PAK,2017,GN_FB_BNK_ACCSS,Y_GE15,F,7.03
356,PAN,2017,GN_FB_BNK_ACCSS,Y_GE15,F,42.34
357,PAN,2017,GN_FB_BNK_ACCSS,Y_GE15,M,50.86
358,PER,2017,GN_FB_BNK_ACCSS,Y_GE15,F,34.44
359,PER,2017,GN_FB_BNK_ACCSS,Y_GE15,M,50.97
360,PHL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,30.02
361,PHL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,38.85
362,POL,2017,GN_FB_BNK_ACCSS,Y_GE15,M,85.38
363,POL,2017,GN_FB_BNK_ACCSS,Y_GE15,F,87.96
364,PRT,2017,GN_FB_BNK_ACCSS,Y_GE15,F,90.62
365,PRT,2017,GN_FB_BNK_ACCSS,Y_GE15,M,94.23
366,PRY,2017,GN_FB_BNK_ACCSS,Y_GE15,F,46.05
367,PRY,2017,GN_FB_BNK_ACCSS,Y_GE15,M,51.22
368,PSE,2017,GN_FB_BNK_ACCSS,Y_GE15,F,15.91
369,PSE,2017,GN_FB_BNK_ACCSS,Y_GE15,M,34.44
370,QAT,2017,GN_ED_ATTN,Y_GE25,M,36.87693
371,QAT,2017,GN_ED_ATTN,Y_GE25,F,60.10435
372,ROU,2017,GN_FB_BNK_ACCSS,Y_GE15,F,53.59
373,ROU,2017,GN_FB_BNK_ACCSS,Y_GE15,M,62.4
374,ROU,2017,GN_ED_ATTN,Y_GE25,F,62.60895
375,ROU,2017,GN_ED_ATTN,Y_GE25,M,72.70814
