,REF_AREA,TIME_PERIOD,INDICATOR,AGE,SEX,OBS_VALUE
238,IDN,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.4
239,IDN,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,29.2
240,MUS,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,15.8
241,MUS,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,22.1
242,MUS,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,28.5
243,PER,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,15.1
244,PER,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.9
245,PER,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.7
246,PRY,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,15.6
247,PRY,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,23.5
248,PRY,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,8
249,PSE,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,17.3
250,PSE,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.6
251,PSE,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,17.8
252,TUR,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,24.7
253,TUR,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,36.2
254,TUR,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,48.4
255,URY,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,16
256,URY,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.3
257,URY,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.6
258,USA,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,8.3
259,USA,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,8.8
260,USA,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,9.4
261,ZAF,2004,WT_ADLS_15-19_ED_NEET,Y15T19,M,14.3
262,ZAF,2004,WT_ADLS_15-19_ED_NEET,Y15T19,_T,16.9
263,ZAF,2004,WT_ADLS_15-19_ED_NEET,Y15T19,F,19.8
264,ARG,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,14.2
265,ARG,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,15.9
266,ARG,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,17.6
267,BOL,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,11.3
268,BOL,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,3.2
269,BOL,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,7.2
270,BRA,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,10.3
271,BRA,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.6
272,BRA,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,19
273,CAN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,11.5
274,CAN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,11.8
275,CAN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,12.1
276,COD,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,13.3
277,COD,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.8
278,COD,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,22.4
279,COG,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,16.6
280,COG,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,18.5
281,COG,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,20.5
282,COL,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,16.1
283,COL,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,23
284,COL,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,30.2
285,CRI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,10.8
286,CRI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,17.1
287,CRI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,23.5
288,DOM,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,11
289,DOM,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.4
290,DOM,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,18.2
291,ECU,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,14.2
292,ECU,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,21
293,ECU,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,8
294,FJI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,11.6
295,FJI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,16.9
296,FJI,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,6.7
297,HND,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,11
298,HND,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,24.1
299,HND,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,37.5
300,IDN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,M,19.3
301,IDN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,22.9
302,IDN,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,26.8
303,IND,2005,WT_ADLS_15-19_ED_NEET,Y15T19,_T,23.7
304,IND,2005,WT_ADLS_15-19_ED_NEET,Y15T19,F,41.3
