,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
222,UNICEF_ESARO,2012,DM_NET_MG_RATE,-0.076
223,UNICEF_LAC,2012,DM_NET_MG_RATE,-0.748
224,UNICEF_LACRO,2012,DM_NET_MG_RATE,-0.749
225,UNICEF_MENA,2012,DM_NET_MG_RATE,0.539
226,UNICEF_MENARO,2012,DM_NET_MG_RATE,-0.016
227,UNICEF_NA,2012,DM_NET_MG_RATE,4.475
228,UNICEF_ROSA,2012,DM_NET_MG_RATE,-1.42
229,UNICEF_SA,2012,DM_NET_MG_RATE,-1.42
230,UNICEF_WCA,2012,DM_NET_MG_RATE,-1.033
231,UNICEF_WCARO,2012,DM_NET_MG_RATE,-1.033
232,UNICEF_WE,2012,DM_NET_MG_RATE,2.101
233,UNSDG_LDC,2012,DM_NET_MG_RATE,-1.412
234,URY,2012,DM_NET_MG_RATE,-1.872
235,USA,2012,DM_NET_MG_RATE,4.188
236,UZB,2012,DM_NET_MG_RATE,-0.691
237,VAT,2012,DM_NET_MG_RATE,0
238,VCT,2012,DM_NET_MG_RATE,-14.412
239,VEN,2012,DM_NET_MG_RATE,-1.869
240,VGB,2012,DM_NET_MG_RATE,4.304
241,VIR,2012,DM_NET_MG_RATE,-8.859
242,VNM,2012,DM_NET_MG_RATE,-0.051
243,VUT,2012,DM_NET_MG_RATE,-3.409
244,WLF,2012,DM_NET_MG_RATE,-26.107
245,WORLD,2012,DM_NET_MG_RATE,0
246,WSM,2012,DM_NET_MG_RATE,-16.094
247,XKX,2012,DM_NET_MG_RATE,-8.423
248,YEM,2012,DM_NET_MG_RATE,-0.8
249,ZAF,2012,DM_NET_MG_RATE,1.296
250,ZMB,2012,DM_NET_MG_RATE,0.611
251,ZWE,2012,DM_NET_MG_RATE,-5.016
252,ABW,2013,DM_NET_MG_RATE,1.303
253,AFG,2013,DM_NET_MG_RATE,1.525
254,AGO,2013,DM_NET_MG_RATE,3.506
255,AIA,2013,DM_NET_MG_RATE,20.354
256,ALB,2013,DM_NET_MG_RATE,-5.817
257,AND,2013,DM_NET_MG_RATE,0.168
258,ARE,2013,DM_NET_MG_RATE,-1.777
259,ARG,2013,DM_NET_MG_RATE,0.127
