,REF_AREA,TIME_PERIOD,INDICATOR,OBS_VALUE
190,AZE,2012,DM_DPR_TOT,41.306
191,AZE,2012,DM_POP_URBN,53.883
192,AZE,2012,DM_DPR_OLD,7.587
193,AZE,2012,DM_LIFE_EXP,70.3598
194,AZE,2012,DM_POP_U5,878.4385
195,AZE,2012,DM_POP_TOT,9485.576
196,BDI,2012,DM_POP_URBN,11.194
197,BDI,2012,DM_POP_U5,1911.8215
198,BDI,2012,DM_POP_15TO24,1944.0935
199,BDI,2012,DM_NET_MG_RATE,2.311
200,BDI,2012,DM_POP_ADLCNT,2072.4515
201,BDI,2012,DM_POP_ADLCNT_PROP,21.1572246747709
202,BDI,2012,DM_DPR_OLD,4.395
203,BDI,2012,DM_BRTS,434.602
204,BDI,2012,DM_FRATE_TOT,5.9909
205,BDI,2012,DM_POP_U18,5049.687
206,BDI,2012,DM_LIFE_EXP,58.4927
207,BDI,2012,DM_DPR_CHD,87.136
208,BDI,2012,DM_DPR_TOT,91.531
209,BDI,2012,DM_POP_TOT,9795.479
210,BEL,2012,DM_FRATE_TOT,1.7968
211,BEL,2012,DM_POP_ADLCNT_PROP,11.2836257759228
212,BEL,2012,DM_POP_TOT,11031.1395
213,BEL,2012,DM_POP_ADLCNT,1244.7125
214,BEL,2012,DM_BRTS,125.85
215,BEL,2012,DM_POP_15TO24,1325.793
216,BEL,2012,DM_POP_U18,2244.445
217,BEL,2012,DM_DPR_CHD,25.929
218,BEL,2012,DM_DPR_OLD,26.895
219,BEL,2012,DM_NET_MG_RATE,5.11
220,BEL,2012,DM_DPR_TOT,52.823
221,BEL,2012,DM_POP_U5,644.824
222,BEL,2012,DM_LIFE_EXP,80.2607
223,BEL,2012,DM_POP_URBN,97.744
224,BEN,2012,DM_NET_MG_RATE,0.126
225,BEN,2012,DM_POP_TOT,10014.0785
226,BEN,2012,DM_POP_U5,1689.3295
227,BEN,2012,DM_POP_15TO24,1980.959
228,BEN,2012,DM_POP_ADLCNT_PROP,22.9231376606445
229,BEN,2012,DM_POP_ADLCNT,2295.541
230,BEN,2012,DM_BRTS,391.846
231,BEN,2012,DM_POP_URBN,44.125
232,BEN,2012,DM_FRATE_TOT,5.3466
233,BEN,2012,DM_DPR_OLD,5.949
234,BEN,2012,DM_POP_U18,5010.681
235,BEN,2012,DM_LIFE_EXP,58.7159
236,BEN,2012,DM_DPR_CHD,81.272
237,BEN,2012,DM_DPR_TOT,87.221
238,BES,2012,DM_BRTS,0.231
239,BES,2012,DM_POP_U5,1.263
240,BES,2012,DM_FRATE_TOT,1.6864
241,BES,2012,DM_POP_ADLCNT_PROP,12.1660060620191
242,BES,2012,DM_DPR_OLD,13.264
243,BES,2012,DM_POP_ADLCNT,2.609
244,BES,2012,DM_POP_15TO24,2.669
245,BES,2012,DM_POP_TOT,21.445
246,BES,2012,DM_NET_MG_RATE,22.831
247,BES,2012,DM_DPR_CHD,24.952
248,BES,2012,DM_DPR_TOT,38.217
249,BES,2012,DM_POP_U18,4.654
250,BES,2012,DM_POP_URBN,74.732
251,BES,2012,DM_LIFE_EXP,75.2005
252,BFA,2012,DM_NET_MG_RATE,-1.224
253,BFA,2012,DM_POP_TOT,17113.7325
254,BFA,2012,DM_POP_ADLCNT_PROP,23.0298767378771
